,,,,,,,,,
City,order id,Date,Store Code,Basket size,Delivery Fee,Cost per order (CPO),Distance in km (pick up to delivery),Courier waiting time (mins),Courier waiting time (mins)
BCN,190,2025-06-13,74118,9.3,2.4,3.8,1.8,4.4,4.4
MAD,191,2025-06-13,205036,15,2.1,3.7,1.5,5.2,5.2
BCN,192,2025-06-13,259875,19.3,2.2,4.2,1.7,4.1,4.1
MAD,193,2025-06-13,61499,15.6,2.2,3.6,1.8,3.8,3.8
MAD,194,2025-06-13,34310,20.9,1.4,2.8,0.6,3.4,3.4
MAD,195,2025-06-13,74119,6.3,2.1,3.5,1.6,4.3,4.3
BCN,196,2025-06-13,248266,19.9,2,3.7,1.5,4.6,4.6
BCN,197,2025-06-13,264652,12.7,2.1,3.4,1.6,4.5,4.5
MAD,198,2025-06-13,46515,19.6,1.5,3.8,0.8,4.4,4.4
BCN,199,2025-06-12,66944,12.7,2.7,4.2,2.5,5.4,5.4
BCN,200,2025-06-12,259875,20.1,2.2,4.2,1.7,3.8,3.8
BCN,201,2025-06-12,65231,18.5,1.8,3.5,1.3,3.7,3.7
MAD,202,2025-06-12,46515,19.1,1.6,3.3,0.9,3.9,3.9
BCN,203,2025-06-12,248266,19.9,2,3.5,1.5,4.5,4.5
BCN,204,2025-06-12,264652,14.9,1.9,3.4,1.3,1.9,1.9
MAD,205,2025-06-12,34310,19.2,1.4,2.8,0.5,3.9,3.9
MAD,206,2025-06-12,105408,24,2.8,4.6,2.7,5.2,5.2
MAD,207,2025-06-12,74119,10.1,2.1,3,1.5,2.9,2.9
BCN,208,2025-06-12,264651,27.7,2.1,5.2,1.4,3.7,3.7
MAD,209,2025-06-12,61499,16.5,2.3,3.9,1.8,3.7,3.7
MAD,210,2025-06-11,74119,6.3,1.5,2.6,0.8,3.5,3.5
BCN,211,2025-06-11,259875,19.7,2,3.9,1.5,4.8,4.8
BCN,212,2025-06-11,264652,13.5,2,3.4,1.3,4.1,4.1
BCN,213,2025-06-11,74118,24,4.1,6,4,10.8,10.8
BCN,214,2025-06-11,264651,18.5,1,2.7,0.5,3.4,3.4
MAD,215,2025-06-11,205036,9.4,2.1,4.2,1.8,3.7,3.7
BCN,216,2025-06-11,248266,19.6,2.1,3.9,1.6,4.9,4.9
BCN,217,2025-06-11,66944,12.8,2.2,4,1.8,4.7,4.7
MAD,218,2025-06-11,61499,13.8,2.3,4.4,1.9,6.2,6.2
BCN,219,2025-06-11,65231,17.5,2,3.5,1.5,4.2,4.2
MAD,220,2025-06-11,46515,18.8,1.6,3.2,0.8,3.8,3.8
MAD,221,2025-06-11,105408,20.1,2.7,4,2.6,6.9,6.9
MAD,222,2025-06-11,34310,16.7,1.4,2.5,0.5,3.7,3.7
BCN,223,2025-06-10,264651,12.1,1.7,3.4,1.1,2.9,2.9
MAD,224,2025-06-10,74119,18,1.9,2.6,1.2,3.4,3.4
BCN,225,2025-06-10,259875,19.2,2.1,4,1.6,4.2,4.2
BCN,226,2025-06-10,65231,17.4,2.1,3.6,1.6,4.1,4.1
MAD,227,2025-06-10,105408,20,2.5,3.9,2.3,6.1,6.1
MAD,228,2025-06-10,61499,13.6,2.7,5.2,2.5,6.8,6.8
MAD,229,2025-06-10,46515,17,1.5,3,0.8,3.6,3.6
